title,source_platform,app_type,web_accessible,web_url,login_required,subscription_required_for_long_chat,confidence,chosen_candidate,reason_for_choice_or_rejection
Talkie: Creative AI Community,android,companion,True,https://www.talkie-ai.com/,unknown,unknown,high,True,companion app; browser chat appears available; login complexity uncertain; free-tier limits uncertain; platform has a public web footprint worth probing; manual PoC preference boost for talkie; public character pages are well indexed for Talkie
AI Girlfriend Chat- Sweet Chat,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Girlfriend Chat: Waifu AI,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
AI Girlfriend Chat:SoulMate AI,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Girlfriend Chat・Virtual GF,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Girlfriend Fantasy - Chait,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
AI Girlfriend Fantasy - Rosify,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Girlfriend Flirty Love Chat,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
AI Girlfriend Romantic Chat,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Girlfriend and Boyfriend,android,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
"AI Girlfriend, AI Boyfriend",ios,companion,False,,unknown,unknown,medium,False,companion app; no browser chat confirmed; login complexity uncertain; free-tier limits uncertain
AI Girlfriend-EveChat,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Girlfriend: Chat & Connect,ios,companion,True,https://caseadri.com/ai-girlfriend-chat,unknown,True,medium,False,companion app; browser chat appears available; login complexity uncertain; subscription likely limits long chat
AI Girlfriend: Chat & Roleplay,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Girlfriend: Roleplay Chat,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Girlfriend: Soulmate Chat,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Girlfriend: Virtual AI Girl,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
AI Girlfriend: Virtual Fantasy,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Girlfriend: Virtual GF Chat,ios,companion,False,,unknown,True,medium,False,companion app; no browser chat confirmed; login complexity uncertain; subscription likely limits long chat
"AI Girlfriend: عربي Love, Chat",android,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Girlfriend:Anime Girl,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
AI Lover - AI Girlfriend Chat,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
AI Roleplay Chat : Spicychat,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AI Tales - Dungeon Story RPG,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AIA: AI Girlfriend Roleplay,android,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
"AIGF: AI Girlfriend, BF Chat",ios,companion,unknown,,False,True,medium,False,companion app; web access uncertain; guest or no-login access is favorable; subscription likely limits long chat
AILLY - Flirty AI Companion,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AINE: 2D AI Girlfriend Chat,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
AISexy:Girlfriend Chat GF 18+,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Adam: Romantic AI Boyfriend,android,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Agirl: Character AI & Roleplay,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat; platform has a public web footprint worth probing
Ai Boyfriend Chat,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Ai Boyfriend: Virtual Love,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Ai Girl: Chat with Girlfriend,ios,companion,True,https://theaigirl.ai,True,False,medium,False,companion app; browser chat appears available; login required; free tier appears sufficient for a short demo
Ai Girlfriend - Chat,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Ai Girlfriend - Dating Chat,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Ai Girlfriend :Virtual Chatbot,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Ai Girlfriend: Virtual Love,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
AiFans-AI Companion,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Aiko - Your AI Soulmate,ios,companion,True,https://aiko.gamiflytech.com,unknown,False,medium,False,companion app; browser chat appears available; login complexity uncertain; free tier appears sufficient for a short demo
Aimora AI Girlfriend Simulator,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Anime - AI girlfriend Vanda,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Anime Boyfriend - AI Boy Chat,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Anime Chat – AI Girlfriend Bot,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Anime Girlfriend AI - Waifu,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Anime Girlfriend SweetWaifu,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Anya: AI Girlfriend & Roleplay,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Arcana AI: AI Roleplay & Chat,android,companion,unknown,,False,True,medium,False,companion app; web access uncertain; guest or no-login access is favorable; subscription likely limits long chat
BaeBoo: Your AI Girlfriends,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
BlueMate AI Gay Boyfriend Chat,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Blush: AI Dating Simulator,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Book Boyfriend AI,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
BoyBot My Virtual Boyfriend,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Boyfi - AI Partner & Boyfriend,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Boyfriend AI: Find True Love,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Bubli Chat ~ AI Girlfriend GF,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
BuddyBot - AI Companion,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Cai: AI Anime Chat Waifu,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Chai: Chat AI Platform,android,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Character AI | AI Girlfriend,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat; platform has a public web footprint worth probing
Chat with AI Boyfriend：StoryAI,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
ChatterBots - AI Companion App,ios,companion,unknown,,True,True,medium,False,companion app; web access uncertain; login required; subscription likely limits long chat
Chatty: AI Roleplay Characters,ios,companion,True,https://cerasus.app,unknown,True,medium,False,companion app; browser chat appears available; login complexity uncertain; subscription likely limits long chat
Chika - AI Girlfriend,android,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Compani - AI Girlfriend,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Compano AI - Chat & Roleplay,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
CrashInAI - Characters Chat,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Cru.AI Mobile: Chat with AI,ios,companion,False,,unknown,True,medium,False,companion app; no browser chat confirmed; login complexity uncertain; subscription likely limits long chat
Crush: Your AI Companion,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Crushie Al: Chat & Companion,ios,companion,True,https://www.crushie.ai,unknown,True,medium,False,companion app; browser chat appears available; login complexity uncertain; subscription likely limits long chat
Crushie Al: Romance AI Chat,android,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Cupiee: Emotional AI Companion,ios,companion,unknown,,False,False,medium,False,companion app; web access uncertain; guest or no-login access is favorable; free tier appears sufficient for a short demo
Date.AI - Virtual Lovers,ios,companion,False,,unknown,False,medium,False,companion app; no browser chat confirmed; login complexity uncertain; free tier appears sufficient for a short demo
Dayt - AI Girlfriend Chat,android,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
"Digi - AI Romance, Reimagined",android,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Dippy-AI Characters & Roleplay,ios,companion,True,https://www.dippy.ai,unknown,True,medium,False,companion app; browser chat appears available; login complexity uncertain; subscription likely limits long chat
Dokichat – Romantic AI Chat,ios,companion,True,https://www.dokichat.club/en,unknown,False,medium,False,companion app; browser chat appears available; login complexity uncertain; free tier appears sufficient for a short demo
DoloPlanet – Sensual AI Crush,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Dopple.AI,android,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Dream AI Companion,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Dream Girlfriend,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
DreamGF - AI Companion,ios,companion,unknown,,True,True,medium,False,companion app; web access uncertain; login required; subscription likely limits long chat
DreamGirl - AI Companion,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
DreamGirl: Spicy AI Girlfriend,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
EVA AI Soulmate,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
EmaraChat: AI Character Chat,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Emma: AI Girlfriend,ios,companion,unknown,,False,True,medium,False,companion app; web access uncertain; guest or no-login access is favorable; subscription likely limits long chat
Eva:chat AI girlfriend,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Eve: Virtual AI Girlfriend,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Fancy AI. Girlfriend girls,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Fantasize - AI boyfriend chat,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Fawn Friends: AI Companion,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Fling AI Character & Roleplay,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Flipped:Chat with AI Character,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Flirtly - AI Girlfriend Chat,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
FriendX - Virtual AI Boyfriend,ios,companion,False,,unknown,True,medium,False,companion app; no browser chat confirmed; login complexity uncertain; subscription likely limits long chat
GF Spicy Chat - Mira Mate,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Geni - Virtual AI Companion,ios,mixed,unknown,,unknown,False,medium,False,mixed app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Girlfriend AI & RP - SFM AI,android,companion,unknown,,True,True,medium,False,companion app; web access uncertain; login required; subscription likely limits long chat
Girlfriend AI: Find True Love,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Girlfriend Ai,android,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Girlfriend.ai,ios,companion,True,https://girlfriend.ai,unknown,True,medium,False,companion app; browser chat appears available; login complexity uncertain; subscription likely limits long chat
GirlfriendX: AI Waifu App,ios,companion,False,,unknown,False,medium,False,companion app; no browser chat confirmed; login complexity uncertain; free tier appears sufficient for a short demo
HakkoAI,ios,mixed,unknown,,unknown,True,medium,False,mixed app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Hana AI-Chat with AI Friends,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Her - Your AI Girlfriend,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Hey Love: AI Girlfriend & Chat,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Hey Love: AI Girlfriend & Chat,android,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
HeyBabe: AI Girlfriend Chat GF,ios,companion,False,,unknown,unknown,medium,False,companion app; no browser chat confirmed; login complexity uncertain; free-tier limits uncertain
HiBae - Best AI Companion,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Him - AI Boyfriend Chat,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Honie: AI Girlfriend Roleplay,android,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Idolchat: No Filter AI Chat,ios,companion,False,,unknown,unknown,medium,False,companion app; no browser chat confirmed; login complexity uncertain; free-tier limits uncertain
InMe – AI Girlfriend Video,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
InMe – AI Girlfriend Video,android,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Intima AI - Chai Alternative,android,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Intimate - AI Girlfriend Chat,ios,companion,False,,unknown,True,medium,False,companion app; no browser chat confirmed; login complexity uncertain; subscription likely limits long chat
IntimateAI - Girlfriend & More,ios,companion,False,,unknown,True,medium,False,companion app; no browser chat confirmed; login complexity uncertain; subscription likely limits long chat
IntimateAI - Girlfriend & More,android,companion,unknown,,True,True,medium,False,companion app; web access uncertain; login required; subscription likely limits long chat
Jack: AI Boyfriend & Love Chat,android,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
James: British AI Boyfriend,android,companion,unknown,,False,False,medium,False,companion app; web access uncertain; guest or no-login access is favorable; free tier appears sufficient for a short demo
JustMet: Character AI Chat,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat; platform has a public web footprint worth probing
KAIA: Chat with AI Girlfriend,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
KAYA: AI GirlFriend & AI Mate,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Komee: AI Fantasy Roleplay,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Korean Boyfriend Maker,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Korean Boyfriend Maker,android,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Kuki - Best AI Companion,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Leo: Korean Boyfriend,ios,companion,True,https://spiretechs.com,True,False,medium,False,companion app; browser chat appears available; login required; free tier appears sufficient for a short demo
LeonTalk,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
LiveC - Living AI Companion,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Love Chat with AI Girlfriend,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
LoveLingo: My Ai Girlfriend,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Lovely - AI Boyfriend Dating,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
LoverLink:Fantasy AI Chat Bot,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Lovetta: AI Girlfriend Chat,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Lovia: AI Character Chat,android,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Lovia: AI Girlfriend & Flirt,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Lovimi: Virtual AI Girlfriend,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Lovyn - AI You'll Love,ios,companion,False,,unknown,False,medium,False,companion app; no browser chat confirmed; login complexity uncertain; free tier appears sufficient for a short demo
Lucy: British AI Girlfriend,android,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Lumi: AI Anime Character Chat,android,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Luna: AI Companion,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Lust Chat- Ai Girlfriend,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
Luvr: Ai Girlfriend Chat Ai,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
MARTY - AI Companion,ios,companion,unknown,,unknown,True,medium,False,companion app; web access uncertain; login complexity uncertain; subscription likely limits long chat
MOOME: Emotional AI Companion,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
Meetra - Indian AI Girlfriend,android,companion,unknown,,True,True,medium,False,companion app; web access uncertain; login required; subscription likely limits long chat
Megan - Lovely AI Friend,ios,companion,unknown,,unknown,False,medium,False,companion app; web access uncertain; login complexity uncertain; free tier appears sufficient for a short demo
